"ciso_primary_key","mailpieceid","parcelidcode","detailsequence","createdtimestamp","mailerid","sourceid","ServiceTypeCode","applicationid","constructcode","mailclasscode","USPSDimensionalHeight","USPSDimensionalLength","USPSDimensionalWidth","customerrecordstartdate","delinked","MID_LAST_UPD_USERID","MID_LAST_UPD_DATE","CRID","CRID_cmra_flag","CRID_msp_flag","UBK","icr","ict_filedate","manifest","manifest_createdtimestamp","manifestid","icr_or_manifest","spef","prtnrscan_createdtimestamp","prtnrscan_eventcode","symbology_mismatch","scanned","firstscan_createdtimestamp","firstscan_eventcode","firstscan_zipcode","firstscan_Longitude","firstscan_Latitude","firstscan_CITY","firstscan_STATECODE","firstscan_STATENAME","firstscan_COUNTYNM","startacceptancezipcode","startacceptance_Longitude","startacceptance_Latitude","startacceptance_CITY","startacceptance_STATECODE","startacceptance_COUNTYNM","deliveryzipcode","ptsaddressid","destaddress_zipcode","destaddress_CITY","destaddress_STATENAME","destaddress_STATECODE","destaddress_Longitude","destaddress_Latitude","ptsphysicaladdressid","physaddress_zipcode","physaddress_CITY","physaddress_STATENAME","ptsreturnaddressid","returnaddress_zipcode","returnaddress_CITY","returnaddress_STATENAME","returnaddress_STATECODE","firstscan_dest_zone","start_dest_zone","firstscan_zone_gt_start_zone","firstzip_startzip_diff"
4200478129581,"b7fc7649d519746c1701c4cee835e9d5022d0d91c7bd13c84fe512bd75a98c35","fc5c522bf4bf4dc91b43107d08d4ae78e15c6e0593e9b936e6abd1f1d751734d","58626503",2024-05-01 21:03:33,"887a2d4f950cb5887b06d21dbf450b4fd7614621ef9dd82f99404c2468cca22b",NA,"001",92,"C03","G0",1.18,5.59,8.03,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 21:03:33,"10","11714",-73.488866,40.73854,"Bethpage","NY","New York","Nassau","11714",-73.488866,40.73854,"Bethpage","NY","Nassau","78501",NA,NA,NA,NA,NA,NA,NA,"25af13f943e41ef22cbc6a3c56c2e194a1953b1fd03190bd430c6f70975d91ad","78501","McAllen","Texas",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129582,"a1b79bf6e73b71e3aba83e7998aa364a0f1e2e661af76315e2f83f7a4d67621c","85c8db146bbbcd00c671907fe0726c587e35d83740bdca4fa1c632804b01a103","58628293",2024-05-01 21:03:29,"887a2d4f950cb5887b06d21dbf450b4fd7614621ef9dd82f99404c2468cca22b",NA,"001",92,"C03","G0",0.9,7.2,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 21:03:29,"10","11714",-73.488866,40.73854,"Bethpage","NY","New York","Nassau","11714",-73.488866,40.73854,"Bethpage","NY","Nassau","11385",NA,NA,NA,NA,NA,NA,NA,"b8e30a0e6f1fb070c29c55f0d35e2201f7ecfada8893e316fffd4e32b68784eb","11385","Ridgewood","New York",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129583,"6d1644b78a8e8febe9eaac6db30238986116ebfa1b8774b9c78a2d48c5156ca5","452c5a28e003f334836033e584c2834922f556c637c2f8170e2901ffaa90219d","093616575108",2024-05-01 15:31:33,"8bff22315791a06ed47d3273b691c346489f012f5f9dabcbc67433c9d1363eae",NA,"001",92,"C02","G0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,1,1,2024-05-01 15:31:33,"03","30047",-84.113781,33.874851,"Lilburn","GA","Georgia","Gwinnett","30047",-84.113781,33.874851,"Lilburn","GA","Gwinnett","37327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129584,"04d6c081085c772e18c54915762817577c526a05630d3b9416ebdbefab095505","6d61fd7845a9dbd28237645f582fbebad03bd0b4307b8a1ed73c5fa15d886bb7","178836716137",2024-05-01 15:30:53,"923861103fc81303067a283282d44cc03c33f1e0c7871dda0a910346ae62687c",NA,"001",92,"C02","G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,1,1,2024-05-01 15:30:53,"03","30047",-84.113781,33.874851,"Lilburn","GA","Georgia","Gwinnett","30047",-84.113781,33.874851,"Lilburn","GA","Gwinnett","12701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129585,"7dd4a03c242e2963dca2318f66531028a7f86cb670ca1d68ccc31ee8f8daa71c","3b110fb69fb2f3d08af7d63ed35c386cf52377aa9d1c5b2f9726a76791376166","873921253848",2024-05-01 12:27:45,"fbe665236e46cbff0ed8e22c024cc68f639c0f7c6eaf358b4f993ee5dd5ae697",NA,"001",92,"C02","G0",3.2,5.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,1,1,2024-05-01 12:27:45,"03","08872",-74.345502,40.462576,"Sayreville","NJ","New Jersey","Middlesex","08872",-74.345502,40.462576,"Sayreville","NJ","Middlesex","75022",NA,NA,NA,NA,NA,NA,NA,"0df56607f150226816f280e383eff492893786d41be91b045f7177c16028b98a","75022","Flower Mound","Texas",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129587,"c803575dbaa3f24f834930e369c0bb3d7832b98b076b54072a06e64f80750b05","7aba1917535f4f106eb469e5766823c63f48d78faddf09a0c0b739542e13cf5a","18073659",2024-05-01 07:29:59,"73665789b3319dbe772934958db1f87b34ae80545139cb62c5e1fb72a6a6b988",NA,"001",92,"C03","G0",1.77,12.2,13.98,2012-12-20,NA,"017a222168bfe5f6689bdc08e6a1911cbcbb992f0c7f81d28613913bf83498e6",2011-03-15,"70c596f6afd6c3a4d10613a3e83b9845dedb06a4bcec313121b073c87b8865bd","N","N","d0e802f52a30c0066f39083e86e7e163dfc1e047410cf88634690b377b324c0c",0,NA,1,2024-05-01 07:29:59,"9f9d24735dc67a7b64ce5706810c4ed6d871cc8308f130b83fcdb7d16459bd41",1,0,NA,NA,NA,1,2024-05-01 21:51:23,"10","19116",-75.018481,40.121574,"Philadelphia","PA","Pennsylvania","Philadelphia","18702",-75.877313,41.234843,"Wilkes Barre","PA","Luzerne","39530","84dd36457517fac84333c05c198244ed789dc877821b91b2f6767f70672c02f5","39530","Biloxi","Mississippi","MS",-88.897393,30.400015,"84dd36457517fac84333c05c198244ed789dc877821b91b2f6767f70672c02f5","39530","Biloxi","Mississippi",NA,NA,NA,NA,NA,6,6,0,TRUE
4200478129588,"505dba12f23539a5431ae6ee1c2f7b8b4ecaa0300e7a0969412a690271c8e849","2d474eb09cc26044ae43d032b9ea35cb729246f404826e6e55549f490ea7f75b","18098607",2024-05-01 16:47:38,"73665789b3319dbe772934958db1f87b34ae80545139cb62c5e1fb72a6a6b988",NA,"001",92,"C03","G0",1.8,13.6,6.2,2012-12-20,NA,"017a222168bfe5f6689bdc08e6a1911cbcbb992f0c7f81d28613913bf83498e6",2011-03-15,"70c596f6afd6c3a4d10613a3e83b9845dedb06a4bcec313121b073c87b8865bd","N","N","d0e802f52a30c0066f39083e86e7e163dfc1e047410cf88634690b377b324c0c",0,NA,1,2024-05-01 16:47:38,"602d78de369508d71ceb7c315fc563e09a893212e6c422d77b9827aa2b1fcc94",1,0,NA,NA,NA,1,2024-05-01 21:43:21,"10","17604",-76.278485,40.099859,"Lancaster","PA","Pennsylvania","Lancaster","18702",-75.877313,41.234843,"Wilkes Barre","PA","Luzerne","27980","9707b4bfe1c21dc907880bba9194c959a7a4243c6974cdc27a35dd1603cce95b","27980","Tyner","North Carolina","NC",-76.634013,36.254002,"9707b4bfe1c21dc907880bba9194c959a7a4243c6974cdc27a35dd1603cce95b","27980","Tyner","North Carolina",NA,NA,NA,NA,NA,3,4,0,TRUE
4200478129602,"72f7c27030fbebad9870c0b3251e0d806c6c7cb424a88682dd9a9d66fbf43f76","32e9759849252706aed955834ea093c5a883e937ae5c259c75fe4d98576ccdc1","23091615",2024-05-01 14:15:53,"1b930f5730b453dfff5c5b4f736dd2269521daaceda4394d495429fb28cc19a0",NA,"001",92,"C01","G0",0.79,10.79,9.84,2012-12-20,NA,"839989ffd393e106625ce019cc2b0e24dc09cae6da66b7e5535eed882a5f568c",2014-12-30,"68d941a13114ba7a4495953f4b8d3c399b37311dd5127f6654f834201083f247","N",NA,"c834675ee280d8936fd0aef0d792bae72319bcf08c52a5785ba469ce024f1444",0,NA,1,2024-05-01 14:15:53,"285c03590f58d4e4fd1b75953321cc6f2a4d36504b3e314e87b8ed83aa4c5910",1,0,NA,NA,NA,1,2024-05-01 21:27:58,"10","92553",-117.238598,33.908611,"Moreno Valley","CA","California","Riverside","91748",-117.898437,33.979568,"Rowland Heights","CA","Los Angeles","76028","f08fbe3c9c12d97f076f8974b2b9aebbbbc23f889224648d3f457b72fa86818b","76028","Burleson","Texas","TX",-97.311978,32.529531,"f08fbe3c9c12d97f076f8974b2b9aebbbbc23f889224648d3f457b72fa86818b","76028","Burleson","Texas",NA,NA,NA,NA,NA,6,6,0,TRUE
4200478129603,"b3043f19b7dc215c9e85c8a52d27126c3073f0309cfe3b24f9766bfeefa09282","b8baecc6e05bbdabacdd8e146272ee8d26c8e71d3675e91bd3de39afe17afe7b","23095873",2024-05-01 14:15:53,"1b930f5730b453dfff5c5b4f736dd2269521daaceda4394d495429fb28cc19a0",NA,"001",92,"C01","G0",4.13,17.01,17.32,2012-12-20,NA,"839989ffd393e106625ce019cc2b0e24dc09cae6da66b7e5535eed882a5f568c",2014-12-30,"68d941a13114ba7a4495953f4b8d3c399b37311dd5127f6654f834201083f247","N",NA,"c834675ee280d8936fd0aef0d792bae72319bcf08c52a5785ba469ce024f1444",0,NA,1,2024-05-01 14:15:53,"285c03590f58d4e4fd1b75953321cc6f2a4d36504b3e314e87b8ed83aa4c5910",1,0,NA,NA,NA,1,2024-05-01 21:58:06,"10","92553",-117.238598,33.908611,"Moreno Valley","CA","California","Riverside","91748",-117.898437,33.979568,"Rowland Heights","CA","Los Angeles","60452","7d4688cf8ae7cd796457338270b9a3626ded08271e5e5072d5540f5e0bace46d","60452","Oak Forest","Illinois","IL",-87.757635,41.608681,"7d4688cf8ae7cd796457338270b9a3626ded08271e5e5072d5540f5e0bace46d","60452","Oak Forest","Illinois",NA,NA,NA,NA,NA,7,7,0,TRUE
4200478129606,"9e5ec8ebf3ecfabd5b1850f6b67350f048a48e86051ed5f7d60fbfe355c20708","17c2cb0f9f1253b9090029ecbfa0e8f62833e3a124b9643e0e00d512e42c7e87","17238256",2024-05-01 18:31:57,"3e9ca84b2fdb0035262b4a209f1c2c4a88bc3d4e94256841549ec83fc12a562b",NA,"001",92,"C04","G0",0,14.3,8,2012-12-20,NA,"800cd74bc2948451601aba378fa23fef6f456a6d1f80065a10a43f44ba70a9b7",2012-08-23,"60e788776d509939da007056de20c227b6b5675d158627772ecdd1872087cedc","N","N","24b10acec6897e2327deb186cc9c78f123d8c6735b521cc91a18c58093fbafd3",0,NA,1,2024-05-01 18:31:57,"63abb61c8f9fb2a69ddc8ce3d270dc720fef7430b2c06d50da9fb4cb529a13b5",1,0,NA,NA,NA,1,2024-05-01 21:37:25,"10","15086",-80.083168,40.661262,"Warrendale","PA","Pennsylvania","Allegheny","26059",-80.620633,40.090092,"Triadelphia","WV","Ohio","02857","fab3f23565fc75091c44fd43af3b5b3385869206f0cd66a99ce1b07dd5d69bed","02857","North Scituate","Rhode Island","RI",-71.64162,41.83368,"fab3f23565fc75091c44fd43af3b5b3385869206f0cd66a99ce1b07dd5d69bed","02857","North Scituate","Rhode Island",NA,NA,NA,NA,NA,4,4,0,TRUE
4200478129607,"b34ef7458fbcbe8dc08efb1be88eca0e8d6ca4fd88813526dc89f4afd8f5942c","0daffef680ae02bace3e5b8e0fe9ce084d2d6c952f24bd66eb83b18821f9e88e","17274315",2024-05-01 18:31:57,"3e9ca84b2fdb0035262b4a209f1c2c4a88bc3d4e94256841549ec83fc12a562b",NA,"001",92,"C04","G0",0,11.6,9.5,2012-12-20,NA,"800cd74bc2948451601aba378fa23fef6f456a6d1f80065a10a43f44ba70a9b7",2012-08-23,"60e788776d509939da007056de20c227b6b5675d158627772ecdd1872087cedc","N","N","24b10acec6897e2327deb186cc9c78f123d8c6735b521cc91a18c58093fbafd3",0,NA,1,2024-05-01 18:31:57,"63abb61c8f9fb2a69ddc8ce3d270dc720fef7430b2c06d50da9fb4cb529a13b5",1,0,NA,NA,NA,1,2024-05-01 21:32:24,"10","15086",-80.083168,40.661262,"Warrendale","PA","Pennsylvania","Allegheny","26059",-80.620633,40.090092,"Triadelphia","WV","Ohio","35459","ef01c1976058a200084a7dbab495fbd18c72bad0c7dd44d4f50bbbeab0048c57","35459","Emelle","Alabama","AL",-88.309687,32.76172,"ef01c1976058a200084a7dbab495fbd18c72bad0c7dd44d4f50bbbeab0048c57","35459","Emelle","Alabama",NA,NA,NA,NA,NA,5,5,0,TRUE
4200478129608,"43a1a4161f23ae9ca4e410bcf87a06fc95943ef9f520739e50ea27cc5a130647","0185b51a5f3399abe73c966c4e5a087619a768bef9f5ee19a0498d922d3864a5","17455004",2024-05-01 18:31:57,"3e9ca84b2fdb0035262b4a209f1c2c4a88bc3d4e94256841549ec83fc12a562b",NA,"001",92,"C04","G0",0,12.1,8.5,2012-12-20,NA,"800cd74bc2948451601aba378fa23fef6f456a6d1f80065a10a43f44ba70a9b7",2012-08-23,"60e788776d509939da007056de20c227b6b5675d158627772ecdd1872087cedc","N","N","24b10acec6897e2327deb186cc9c78f123d8c6735b521cc91a18c58093fbafd3",0,NA,1,2024-05-01 18:31:57,"63abb61c8f9fb2a69ddc8ce3d270dc720fef7430b2c06d50da9fb4cb529a13b5",1,0,NA,NA,NA,1,2024-05-01 21:42:25,"10","15086",-80.083168,40.661262,"Warrendale","PA","Pennsylvania","Allegheny","26059",-80.620633,40.090092,"Triadelphia","WV","Ohio","15531","66c81e113df2f7c98ee93dca1fb5105c4e7207e6d1773f66cf6b2cf6e529a771","15531","Boswell","Pennsylvania","PA",-79.0274,40.160776,"66c81e113df2f7c98ee93dca1fb5105c4e7207e6d1773f66cf6b2cf6e529a771","15531","Boswell","Pennsylvania",NA,NA,NA,NA,NA,2,2,0,TRUE
4200478129610,"a877c59a40b5b2559f6d4ffc34b319e21337cfe4d72b775d624fc3e6ae22d26e","b2cb542dc27b5f91f585681a3005dabac6750368901203fc31b362a99cf41bcf","20340228",2024-05-01 17:29:14,"fa4d33bd0f084cfe9461a6d186d85ce5316d1cb6de039b69fadf00d4f2dc8892",NA,"001",92,"C03","G0",6,8,6.3,2012-12-20,NA,"906a903ded504237af4f34c27c417f409cb462c7c2dcc6e7fb52c9fe2dccc04b",2010-06-01,"4cf5d96487871c9d862e27ae70976af6cc9fea7b3be3d8dcb1da9702938580f7","N",NA,"bec128accfc00c77d747ee108b1f77baeb83b02b97258b983800ce34e0de3a3a",0,NA,1,2024-05-01 17:29:14,"3fefd89b29bbcd30650bbf71916bc8f0e1c818b45ce4639535e72114b42876c3",1,0,NA,NA,NA,1,2024-05-01 19:11:34,"10","85043",-112.191012,33.439449,"Phoenix","AZ","Arizona","Maricopa","85043",-112.191012,33.439449,"Phoenix","AZ","Maricopa","64152","1a66957c4a419c385765340ffdc71f9dc9b81dee552f1dfa0be1dd47224074fb","64152","Kansas City","Missouri","MO",-94.7307,39.21816,"1a66957c4a419c385765340ffdc71f9dc9b81dee552f1dfa0be1dd47224074fb","64152","Kansas City","Missouri","7020c87a8bd072d7694784d891337f1778144b7b91c176e75d253df7e4e222ea","85043","Phoenix","Arizona","AZ",6,6,0,FALSE
4200478129612,"4d447bb0cbb85d44a2cec6509e518445969b32369de84ad07352e854e97beaf5","1ab4ed5de09401e2e44f12ff09d264b0d7101296e00457721329f02b495d48d8","02212289",2024-05-01 14:00:05,"dc7f850983d7b7ebc36de693076775ecb90c269e8467014bfa1ec47b9930e001",NA,"001",92,"C04","G0",3.74,11.02,9.25,2013-08-22,NA,"5c54b8c3d7085cb6d1399d531df916b67179c926493dfb6bba4b85e6d79a3393",2016-08-18,"711a25fed490bed6f448fd3fb80f8061e2deda0e5dacb474061c650a4b6e28e4","N","N","cd6853e851f36c953c38cd844debb2fc6c241f2c1207f27d11efbafbf09a672b",0,NA,1,2024-05-01 14:00:05,"2c0ca2592b15385434bf52c3446301d4f3438b44633e7935f9f615a6e59eb077",1,0,NA,NA,NA,1,2024-05-01 23:31:09,"10","53154",-87.903062,42.88606,"Oak Creek","WI","Wisconsin","Milwaukee","53532",-89.333063,43.236225,"Deforest","WI","Dane","58237","a43d9b3298e267117e83cba640f22ad2f9414b760d4e6372abe318465dbde4c5","58237","Grafton","North Dakota","ND",-97.41174,48.4152,"a43d9b3298e267117e83cba640f22ad2f9414b760d4e6372abe318465dbde4c5","58237","Grafton","North Dakota","ba23957c886f04d839cc77ecebafa07d843a49c32be83a4322c3d3c5eca2e9ce","53532","Deforest","Wisconsin","WI",4,4,0,TRUE
